"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051052","regulation of DNA metabolic process","199/4439","481/18842",0.413721413721414,1.75610247293059,9.3255208692729,1.4313508700175e-18,8.4163431157029e-15,8.4163431157029e-15,"TGFB1/TAF9/TCP1/CUL4B/SLF2/MORF4L2/PNKP/PMS2/CHRAC1/PPP4C/RPA2/FIGNL1/SMG1/EREG/PTGES3/PDS5A/VPS72/UCHL5/RNF8/ATXN7L3/VEGFA/NVL/KAT5/MBTD1/MIR221/ATRX/LRR1/UBQLN4/RBBP6/PCNA/MCM3/CGAS/SKP2/MEAF6/PDGFB/HELQ/FUS/SETD2/PARP1/TERF1/DFFB/XRCC5/DBF4/TSPYL2/TNKS2/HSF1/PML/WRNIP1/DPF2/FBH1/BRD7/FBXO4/HDAC8/MRNIP/SF3B3/ORC3/MAP2K7/NAF1/ARID1A/MSH2/DFFA/MYC/SIRT7/HGF/BRPF3/MAD2L2/RNF126/MSH3/CLCF1/UPF1/TERF2/MRE11/TAF4/HNRNPD/ACTB/BAX/PBRM1/TAF12/CDC7/TAF5/CCT3/JADE1/ACTR8/HELB/S100A11/SUPT7L/DBF4B/SUPT20H/USP37/USP1/CTNNB1/TTF1/RAD52/EHMT2/BRCC3/MAPKAPK5/ING5/SMARCA4/UBE2V2/CCT6A/BRD8/MAGEF1/OTUB1/H1-10/MCRS1/ARID1B/EP400/CBX8/LMNA/BCL6/POT1/CDKN1A/ANKRD17/HNRNPA2B1/SMC3/TIGAR/GTPBP4/BAZ1A/YLPM1/CUL2/INO80C/ING3/H1-0/SMARCC2/ID3/MAPK1/NIBAN2/CDKN1B/BCL7A/DCP2/HNRNPC/PARN/NEK7/ELOC/TNF/HNRNPA1/CACYBP/SPIRE2/SMARCA2/BRCA1/HNRNPU/H1-2/KPNA2/RAD17/YEATS4/ATM/CDK9/JADE2/TFRC/ATF1/POLB/CDK1/PRKDC/IL10/AKT1/NFRKB/CCT7/WIZ/RFC5/USP22/ACTL6A/SRC/RAD50/DYRK1A/SUB1/TFIP11/PIF1/TRRAP/HSP90AA1/WEE1/SLC15A4/PARG/FAM168A/CUL4A/CCDC117/KDM1A/ORC5/TAF10/SMARCAD1/CSNK2A1/SMARCD2/ATAD5/ING4/BCL7B/ATRIP/ERCC8/TP53/ABRAXAS1/PRKCD/IL6/ERCC4/TOP2B/POLH/DYNLL1/SMARCD1/PRKD2/CCT4/RIOX1/ZBTB38",199
"GO:0045088","regulation of innate immune response","187/4439","482/18842",0.387966804979253,1.64678318076573,7.98571791848017,2.95482120540274e-14,8.68717434388404e-11,8.68717434388404e-11,"TGFB1/ADAM8/INPP5D/LAMP1/RELA/PUM2/DDX3X/EREG/NLRC4/MAP3K7/POLR3B/PIM1/RTN4/TRIM5/KAT5/GRN/RNF125/RNF170/CSNK1A1/DDX41/CGAS/ZNFX1/PARP1/SLC15A3/TNFAIP3/CYLD/CARD8/XRCC5/PAK1/HAVCR2/FPR2/NR1H2/OASL/TRIM25/IKBKB/SFPQ/FCRL3/IRF1/PIK3R6/TRIM21/HMGB2/RALB/HSP90B1/IRF7/SPI1/SQSTM1/CD226/MAPKAPK2/CLPB/WNT5A/SCIMP/IRF5/CCL5/SYK/SERPING1/HLA-B/DTX4/NLRP1/NLRP3/ZNRF1/TRIM3/NECTIN4/KLRD1/HLA-E/NLRC5/CYBA/DNAJA3/HLA-A/GBP5/IFI16/CDC37/SAMHD1/STAT2/CACTIN/PPP2CA/MICA/GBP2/CLEC7A/RNF39/LATS1/NINJ1/HSPA1B/NLRP6/FFAR2/BCL10/MSR1/BRCC3/LGALS9/FCGR2B/TRAFD1/HLA-C/TRIM62/MEFV/APPL1/SLC46A2/CASP6/NFKBIZ/MNDA/ACOD1/PTPN1/TRAF3IP3/ABHD17A/ANKRD17/AP1G1/TASL/RPS19/IRAK3/IRAK4/UFD1/PTPN6/YWHAZ/IKBKE/DDX39A/HLA-F/SERPINB9/TLR2/PUM1/CCDC134/RNF34/NEK7/TNF/NR1D1/PAK2/ARRB2/TRIM11/TICAM1/IFI35/KCNK6/BIRC3/ERAP1/PLD3/AKIRIN2/ZDHHC18/PIK3C3/PRKDC/CD14/RBM14/NLRX1/AKT1/IRAK1/TNIP3/NOP53/F2RL1/GDI1/SRC/TLR8/NECTIN2/TNIP2/NFE2L2/IRF2/UNC93B1/MAPKAPK3/PPARG/CRTAM/HSP90AA1/ZC3HAV1/EPG5/YTHDF3/SLC15A4/RNF115/LYN/ERBIN/TLR4/NFKBIA/PJA2/CD300E/RNF185/IRAK2/CEP63/PSPC1/RIPK2/HSPA8/AIM2/ZDHHC9/MYD88/APOE/RIOK3/DHX33/HSPA1A/SLC15A2/IFNB1/TRIM41/TLR5/RPS6KA3/SMPDL3A/LTF/CD160",187
"GO:0000956","nuclear-transcribed mRNA catabolic process","73/4439","141/18842",0.517730496453901,2.19758459431953,7.92412666124582,3.22710746692329e-13,6.32513063516966e-10,6.32513063516966e-10,"ZFP36L2/ZC3H12A/GSPT2/CTIF/SMG1/CPSF3/DDX6/CNOT10/DCP1A/UPF3B/LSM11/ETF1/EDC4/CSTF2/NCBP1/YBX1/NBDY/SNRPD3/DCPS/LSM6/DHX34/UPF1/HNRNPD/ALYREF/EXOSC3/PDE12/LSM10/DCP1B/EDC3/CAPRIN1/NBAS/CNOT1/EXOSC5/TNRC6B/ZFP36L1/CNOT8/PABPN1L/CNOT3/PYM1/PABPC1/SNRPB/HNRNPAB/NCBP2/ANGEL1/EXOSC8/CPSF2/CNOT6/TENT4A/DCP2/CPEB3/PARN/CNOT11/SMG8/HNRNPU/DDX5/RNPS1/AGO2/CASC3/ATM/SAMD4B/EIF4ENIF1/ZCCHC7/SYNCRIP/AGO1/TNKS1BP1/RC3H1/GSPT1/TNRC6C/HELZ/DXO/ZFP36/CNOT4/BTG2",73
"GO:0045089","positive regulation of innate immune response","155/4439","396/18842",0.391414141414141,1.66141591631567,7.38480784525988,2.11959272305308e-12,3.11580130288803e-09,3.11580130288803e-09,"ADAM8/LAMP1/RELA/PUM2/DDX3X/EREG/NLRC4/MAP3K7/POLR3B/RTN4/TRIM5/KAT5/RNF125/RNF170/CSNK1A1/DDX41/CGAS/ZNFX1/PARP1/SLC15A3/TNFAIP3/CYLD/CARD8/XRCC5/PAK1/HAVCR2/FPR2/OASL/TRIM25/IKBKB/SFPQ/FCRL3/IRF1/HMGB2/RALB/HSP90B1/IRF7/SPI1/SQSTM1/CD226/MAPKAPK2/CLPB/WNT5A/SCIMP/IRF5/CCL5/SYK/NLRP1/NLRP3/ZNRF1/TRIM3/KLRD1/HLA-E/NLRC5/CYBA/GBP5/IFI16/CACTIN/PPP2CA/GBP2/CLEC7A/RNF39/LATS1/NINJ1/HSPA1B/NLRP6/FFAR2/BCL10/MSR1/BRCC3/HLA-C/TRIM62/MEFV/APPL1/SLC46A2/CASP6/NFKBIZ/MNDA/ACOD1/TRAF3IP3/ABHD17A/ANKRD17/AP1G1/TASL/RPS19/IRAK3/IRAK4/UFD1/IKBKE/HLA-F/TLR2/PUM1/CCDC134/RNF34/NEK7/TNF/NR1D1/PAK2/ARRB2/TRIM11/TICAM1/IFI35/KCNK6/BIRC3/PLD3/AKIRIN2/ZDHHC18/PIK3C3/PRKDC/CD14/RBM14/NLRX1/AKT1/IRAK1/TNIP3/NOP53/F2RL1/GDI1/SRC/TLR8/NECTIN2/TNIP2/IRF2/UNC93B1/MAPKAPK3/CRTAM/HSP90AA1/ZC3HAV1/EPG5/SLC15A4/RNF115/LYN/ERBIN/TLR4/NFKBIA/PJA2/RNF185/IRAK2/PSPC1/RIPK2/HSPA8/AIM2/ZDHHC9/MYD88/RIOK3/DHX33/HSPA1A/SLC15A2/IFNB1/TRIM41/TLR5/RPS6KA3/SMPDL3A/LTF/CD160",155
"GO:0141188","nucleic acid catabolic process","184/4439","495/18842",0.371717171717172,1.57780917988172,7.23223573110709,4.2431070835453e-12,4.1750795867663e-09,4.1750795867663e-09,"ZFP36L2/GRSF1/RBM33/ZC3H12A/GSPT2/PLEKHN1/CTIF/PUM2/MTREX/SMG1/INTS10/REXO4/INTS13/SNIP1/IREB2/CPSF3/DDX6/CNOT10/DCP1A/TRIM71/SUPV3L1/INTS7/BCLAF1/PABPC4/UPF3B/FASTKD1/LSM11/AGO4/E2F1/ZCCHC17/ETF1/EDC4/GIGYF1/CSTF2/FUS/DFFB/NCBP1/DIS3L/DICER1/NUDT16/YBX1/GTPBP1/CRYZ/PHAX/FBH1/MIR193A/NEAT1/YBX3/NBDY/MAPKAPK2/SNRPD3/NAF1/DCPS/DFFA/APEX1/ISG20/LSM6/ZC3H4/DHX34/AGO3/UPF1/HNRNPD/ALYREF/TENT5C/EXOSC3/PDE12/LSM10/BAX/DCP1B/INTS2/PABPN1/EDC3/CAPRIN1/NBAS/OIP5-AS1/CECR2/TTC5/CNOT1/PPP2CA/SERBP1/ROCK2/RNASET2/ARID5A/NSUN4/EXOSC5/TNRC6B/HSPA1B/CIRBP/DNASE1/MAPK14/MIR212/ZFP36L1/DNASE1L1/CNOT8/FXR2/PABPN1L/SLFN12/CNOT3/PYM1/PABPC1/SNRPB/NYNRIN/HNRNPAB/MEX3D/ZPR1/NCBP2/ZFC3H1/ZNF598/ANGEL1/EXOSC8/LARP4B/ZC3H14/CPSF2/CNOT6/IKBKE/TENT4A/GTSF1/PUM1/DCP2/HNRNPC/ARMC5/RNH1/CPEB3/PARN/CNOT11/ELOC/SMG8/TARDBP/HNRNPU/POP1/TRIR/KHNYN/SRSF1/DDX5/RNPS1/AGO2/CASC3/ATM/SAMD4B/EIF4ENIF1/ZCCHC7/AKT1/PPP1R8/DBR1/SYNCRIP/AGO1/INTS3/HNRNPA0/VIM/LSM14B/MOV10/TNKS1BP1/INTS11/RC3H1/ZC3H18/GSPT1/ZC3HAV1/YTHDF3/TNRC6C/LRPPRC/VPS54/FTO/SLC11A1/ZC3H3/INTS6/TRAF3IP2/HELZ/MYD88/NOCT/NANOS3/RIOK3/INTS5/INTS8/HSPA1A/DXO/ERN1/METTL1/PRKCD/ZFP36/IL6/CNOT4/DNASE2/BTG2/PIWIL2",184
"GO:0030522","intracellular receptor signaling pathway","155/4439","399/18842",0.388471177944862,1.64892406732081,7.27331862444623,4.26028529261867e-12,4.1750795867663e-09,4.1750795867663e-09,"RXRB/FABP5/DHRS3/HDAC2/ZBTB7A/RELA/PUM2/DDX3X/MAP3K7/PPARD/PIM1/RTN4/PPARA/PLIN5/PGRMC2/HUWE1/RNF125/RNF170/CSNK1A1/DDX41/CGAS/PARP1/SLC15A3/TNFAIP3/CYLD/PRMT2/CARD8/PAK1/HDAC6/HAVCR2/NR4A1/NR1H2/OASL/RNF14/TRIM25/YWHAH/IKBKB/ZMIZ1/PAQR8/FCRL3/IRF1/IRF7/TRIP4/ASXL2/NR1I3/CLPB/NCOR2/NCOA4/SCIMP/IRF5/SYK/NCOR1/NLRP1/NLRP3/EZH2/TRIM3/KDM3A/NKX3-1/GBP5/IFI16/CNOT1/PPP2CA/GBP2/THRA/RNF39/CDK12/LATS1/HSPA1B/NLRP6/EGLN2/MSR1/BRCC3/SMARCA4/JUND/DAXX/VPS11/MEFV/STUB1/WBP2/SLC46A2/PAGR1/TRAF3IP3/ABHD17A/ANKRD17/TASL/BMP2/IRAK4/UFD1/UFM1/ALOX15B/TMF1/AHR/PUM1/RNF34/VDR/NEK7/TNF/NR1D1/UBA5/FAM120B/TRIM11/BRCA1/TICAM1/DDX5/KCNK6/BIRC3/PLD3/ZDHHC18/RARG/MN1/CYP27B1/PRKDC/NLRX1/AKT1/IRAK1/ZDHHC7/ACTN4/NOP53/F2RL1/THRB/SRC/TLR8/NR4A3/TNIP2/ASXL1/IRF2/UNC93B1/TAF1/PPARG/ZC3HAV1/EPG5/RARA/SLC15A4/LYN/ERBIN/TLR4/VPS18/KDM1A/IRAK2/ZNF366/RIPK2/HSPA8/TRIM16/ZDHHC9/MYD88/RIOK3/DHX33/HSPA1A/SREBF1/SLC15A2/CITED2/TRIM68/AHRR/ESRRA/SMPDL3A",155
"GO:0006403","RNA localization","93/4439","206/18842",0.451456310679612,1.91627389182817,7.34092248530868,6.81623791858773e-12,5.68375582823211e-09,5.68375582823211e-09,"TCP1/NUP214/SNUPN/RBM33/ARC/PUM2/SMG1/SHQ1/UPF3B/NUP88/SETD2/TERF1/NCBP1/NUP133/YBX1/HSF1/MVP/PHAX/DDX39B/MRPL18/NEAT1/HHEX/NAF1/G3BP2/NXT1/ZNF385A/NUP98/UPF1/ALYREF/NUP107/BICD2/PABPN1/THOC3/AHCTF1/TBCK/CCT3/GATD1/SRSF7/NUP43/ZFP36L1/ATXN2/NXF1/KHDRBS1/EIF4E/FXR2/CCT6A/THOC2/NDC1/HNRNPAB/MEX3D/PPP1R21/NCBP2/MX2/POM121C/HNRNPA2B1/PCID2/DDX39A/NUP35/POM121/DCP2/XPOT/PARN/XPO1/HNRNPA1/NUP153/HNRNPU/NUP50/SRSF1/DDX19B/CASC3/ATM/NUP42/NUP155/XPO5/CCT7/SLBP/IWS1/GLE1/RANBP2/NUP160/YTHDC1/LRPPRC/ZC3H3/THOC6/NUP37/NUP205/NCBP3/SRSF3/ZFP36/TPR/CCT4/CKAP5/WNK1",93
"GO:0016236","macroautophagy","145/4439","369/18842",0.392953929539295,1.66795177751282,7.19378816154972,7.73300112684641e-12,5.68375582823211e-09,5.68375582823211e-09,"VPS13D/MAP1LC3B/ATG3/STBD1/FBXO7/MAP3K7/ATP6V1A/STAM2/VPS33A/KAT5/MTMR14/UBQLN4/FBXL4/HUWE1/ATG4C/SPTLC1/ATP2A2/VPS35/NSFL1C/HDAC6/VPS41/GAPDH/RALB/IKBKG/CLEC16A/BAG3/SQSTM1/SKP1/HGS/ZNRF2/ATP6V0C/CCPG1/NIPSNAP3A/ATG4D/SREBF2/TBC1D14/TBC1D25/EXOC4/VPS36/RAB3GAP2/ZNRF1/MAP1LC3A/RAB43/CDK5R1/RAB33B/IRGQ/LIX1L/CDC37/LYPLA1/ATG2A/SNX4/CHMP1B/SCOC/PGAM5/TOM1/GNAI3/GABARAPL1/MAP1LC3B2/PDCD6IP/CHEK2/PLEKHM1/UBXN2B/SESN3/ZFYVE1/SMURF1/RAB1B/MTOR/EXOC1/VPS11/STUB1/USP33/HTRA2/ATP6V0B/FBXW7/NRBP2/PIP4K2A/EPM2A/UFM1/SESN2/TP53INP2/DNAJC16/ATG101/NIPSNAP3B/UBA5/STX4/ARL8B/TCIRG1/TRIM13/CHMP1A/RAB5A/ATM/QSOX1/VPS37B/EIF2S1/PIP4K2B/CHMP7/PIK3C3/ATP6V0A2/AKT1/PHF23/PACS2/NBR1/SMCR8/SNX6/SRC/SPTLC2/TBC1D12/RAB23/LRRK2/USP36/AUP1/EPG5/MFN2/VPS16/MFSD8/CAPNS1/VTA1/VPS18/EXOC7/ATP6V1H/WDR45B/ATP6V0D1/CSNK2A1/RETREG3/TMEM41B/STX17/VPS37C/SPG11/CHMP4BP1/CHMP2A/GPSM1/DNM1L/MOAP1/SUPT5H/VPS13C/WIPI1/VCP/SREBF1/RAB1A/ERN1/EIF2AK1/RUBCNL/VTI1A/ULK1/CHMP4B",145
"GO:1903131","mononuclear cell differentiation","166/4439","439/18842",0.378132118451025,1.60503838158464,7.1209664514365,9.85522708640889e-12,6.43874836312048e-09,6.43874836312048e-09,"TGFB1/SOCS3/ZFP36L2/ADAM8/CD80/INPP5D/NFIL3/ZBTB7A/IL1A/LFNG/TNFSF8/PDE2A/ZC3H12A/XBP1/CEBPB/ZC3H8/SMAD7/VEGFA/LMBR1L/KAT5/SOCS5/CSF3/NFKBID/CSF2/ADGRG3/ST3GAL1/PARP1/IL23A/DOCK11/KMT2A/HSF1/BRD2/ZMIZ1/FCRL3/IRF1/MFNG/PIK3R6/KLF6/HDAC4/BRD7/HHEX/IRF7/CD74/SPI1/ARID1A/MSH2/PSMB2/CCR7/SLAMF1/MYC/SYK/HLA-B/CLCF1/TRIB1/C1QC/ACTB/NLRP3/ID2/TMEM176B/EZH2/FLT3/NRROS/PBRM1/GPR183/NHEJ1/ZBTB46/TMEM131L/PDE1B/IFI16/FNIP1/ADAM17/RUNX1/SMC2/IL2RG/FOXO3/ZFP36L1/LGALS9/FOS/SMARCA4/IL1B/FCGR2B/MTOR/PRELID1/CD69/ARID1B/JAK3/BCL6/GAS6/NFKBIZ/HLA-DRA/LRRC8A/CCR2/DUSP10/PCID2/CSF1/CDKN2A/SMARCC2/IL27/PRDM1/ATP7A/TLR2/MYB/CLPTM1/PSMA7/IL12RB1/IKZF1/LILRB2/IL4I1/DCSTAMP/SMARCA2/CTSL/SOCS1/FASN/IL7/ATM/JMJD1C/IL1R2/LAPTM5/PRKDC/IL10/MMP9/IL11RA/F2RL1/RHOA/ACTL6A/PTGER4/DLL1/NFE2L2/RELB/RC3H1/ZFPM1/PPARG/TNFSF18/PHF14/CRTAM/IL1RAP/RARA/LYN/VPS54/RHOH/SOX4/IL31RA/LILRB4/PSMA1/PSMB4/JAG2/PSMA6/TRAF3IP2/SMARCD2/PNP/CDK6/SART1/CHD7/LIF/NKAP/LGALS1/ZBTB16/IFNB1/IL6/TOP2B/AXL/ATF2/KLHL25/PRR7/SMARCD1/IRF2BP2",166
"GO:0016197","endosomal transport","126/4439","310/18842",0.406451612903226,1.72524471509858,7.14779915558017,1.27886868206552e-11,7.4719875707355e-09,7.4719875707355e-09,"CMTM6/ATP6AP1/BTBD8/EHD4/WASHC5/SNX1/DNAJC13/EEA1/VPS52/CLTCL1/RIC1/STAM2/HEATR5A/EZR/TMEM87B/DENND1A/COMMD3/TINAGL1/VPS35/INPP5F/RAB29/LEPROTL1/COMMD10/COMMD2/RAB9A/CLEC16A/SQSTM1/DENND10/HGS/SNX9/BAIAP3/RNF126/TMCC1/ARFIP1/TBC1D14/RBSN/AP5B1/ANKFY1/VPS36/BLOC1S6/RILP/RAB14/RAB10/SNX4/CHMP1B/TOM1/SNX33/UBAP1/GRIPAP1/TRIM27/ENTR1/COMMD8/HOOK3/YKT6/VPS11/MON2/VPS35L/SGSM2/ACAP2/STX6/MAPK1/MICALL2/DPY30/DYNC1LI1/RAB5B/EPS15/WASHC3/ARL8B/RAB11FIP3/GGA1/CHMP1A/RAB5C/RAB5A/UBE2O/CCDC93/EHBP1L1/VPS37B/RAB12/CHMP7/PIK3C3/ARF6/EPS15L1/EVI5/SPAG9/VAMP4/RABGEF1/AP5M1/KIF16B/DENND1C/DENND1B/SNX6/PREPL/SRC/LRRK2/SLC66A2/RAB8B/RAB11B/ABCA1/VPS16/VPS54/VTA1/ITSN1/ANKRD50/VPS51/RDX/RAB35/TBC1D10A/RCSD1/RAB11FIP4/AP5Z1/VPS37C/CHMP4BP1/CHMP2A/ARL1/SNX8/GOLT1B/VPS50/SNX27/VCP/WASHC4/EHD1/ALMS1/VTI1A/COMMD4/CHMP4B/DOP1B",126
"GO:0044772","mitotic cell cycle phase transition","164/4439","434/18842",0.377880184331797,1.60396900950208,7.06682413851738,1.39782080404916e-11,7.4719875707355e-09,7.4719875707355e-09,"TGFB1/TRIM39/ZFP36L2/CUL4B/RGCC/RPA2/CCDC57/PPP2R2D/DDX3X/SDE2/FHL1/RRM2/PIM1/CPSF3/CCL2/MIR221/TAOK3/TRIM71/KLF11/ESPL1/LSM11/SKP2/BUB3/CCNJL/E2F1/ANAPC1/SIRT2/ENSA/RB1/ANAPC7/PRMT2/PTEN/CCND1/DBF4/RAD21/DPF2/MIR193A/BRD7/MRNIP/TMEM14B/SKP1/ARID1A/PSMB2/MYC/DYNLT1/STK35/MAD2L2/CRLF3/CDC25B/MRE11/RCC2/TACC3/ACTB/LSM10/ID2/PBRM1/CDC7/PPP1R9B/JADE1/EIF4G1/MUC1/PPP2CA/ADAM17/PDIK1L/DBF4B/USP37/LATS1/PSMB6/ZNF324/ZFP36L1/BRCC3/INCENP/CHEK2/CCND2/SMARCA4/HINFP/KHDRBS1/EIF4E/XPC/APC/DYNC1H1/TTK/ARID1B/APPL1/SPAST/CDKN1A/ANKRD17/PIAS1/EPS8/GTPBP4/CUL2/PTPN6/CDKN2A/SMARCC2/PHF8/GEN1/DYNLT3/MBLAC1/CDKN1B/BCL7A/DNM2/ZNF655/ZW10/ANAPC2/DYNC1LI1/ETAA1/PSMA7/TOPBP1/SMARCA2/GPR132/BRCA1/CCNA1/TEX14/RAD17/ERCC3/FZR1/ATM/CHMP7/CDK1/PRKDC/AKT1/MBTPS2/NOP53/DCUN1D3/INTS3/USP22/ACTL6A/PLK3/RAD50/RIOK2/GSPT1/PABIR1/RBL2/WEE1/PSME1/CUL4A/TAOK1/CCNI/NABP1/PSMA1/PSMB4/TRIAP1/RDX/PSMA6/SMARCD2/CDK6/CHMP2A/DYNC1I2/SASS6/CDKN2D/BCL7B/CLASP1/TAOK2/UBE2S/TP53/ABRAXAS1/CDC23/TPR/MIIP/RPS6KB1/DYNLL1/SMARCD1/NDC80/CHMP4B",164
"GO:0051054","positive regulation of DNA metabolic process","112/4439","267/18842",0.419475655430712,1.78052721325196,7.13094908924364,1.71604461136481e-11,8.40861859568756e-09,8.40861859568756e-09,"TGFB1/TCP1/SLF2/MORF4L2/PNKP/PMS2/EREG/PTGES3/VPS72/UCHL5/RNF8/VEGFA/NVL/KAT5/MBTD1/ATRX/PCNA/SKP2/MEAF6/PDGFB/HELQ/FUS/PARP1/TERF1/DBF4/TNKS2/PML/DPF2/BRD7/FBXO4/MRNIP/MAP2K7/NAF1/ARID1A/MSH2/MYC/HGF/BRPF3/MAD2L2/RNF126/CLCF1/TERF2/MRE11/HNRNPD/ACTB/BAX/PBRM1/CDC7/CCT3/ACTR8/DBF4B/USP1/CTNNB1/BRCC3/MAPKAPK5/SMARCA4/UBE2V2/CCT6A/BRD8/MCRS1/ARID1B/EP400/CBX8/POT1/CDKN1A/HNRNPA2B1/TIGAR/BAZ1A/INO80C/ING3/SMARCC2/MAPK1/CDKN1B/BCL7A/PARN/NEK7/TNF/HNRNPA1/CACYBP/SPIRE2/SMARCA2/BRCA1/YEATS4/ATM/TFRC/ATF1/CDK1/PRKDC/AKT1/NFRKB/CCT7/WIZ/RFC5/ACTL6A/RAD50/DYRK1A/TRRAP/HSP90AA1/WEE1/FAM168A/CCDC117/SMARCD2/ATAD5/BCL7B/ERCC8/ABRAXAS1/PRKCD/IL6/TOP2B/SMARCD1/PRKD2/CCT4",112
"GO:0032496","response to lipopolysaccharide","123/4439","302/18842",0.407284768211921,1.72878116752625,7.08783852674003,1.90452567509713e-11,8.61431613043933e-09,8.61431613043933e-09,"CD80/HDAC2/IL1A/ZC3H12A/RELA/SELENOS/XBP1/CTR9/CEBPB/PPARD/TRIM5/CD40/CASP9/CCL2/ALPL/CSF3/CSF2/CSF2RB/AKAP8/FCAR/E2F1/CD55/TNFAIP3/CARD8/ADAM9/HAVCR2/NR4A1/CXCL5/HMGB2/SPI1/ALAD/MAPKAPK2/MAP2K7/WNT5A/CCR7/SCIMP/OTUD5/CCR5/TRIB1/UPF1/SLC7A5/NLRP3/NOTCH1/EDN1/PABPN1/GBP5/GCH1/SLPI/CACTIN/ADAM17/GBP2/LCN2/ARID5A/SLC22A4/MEF2C/BCL10/MAPK14/LGALS9/FOS/IL1B/IL18BP/JUND/BMP6/NFKBIB/PDE4B/NFKBIZ/ACOD1/IRAK3/IRAK4/PTPN6/EDNRB/CEBPE/RAC1/GBP3/TLR2/TNF/NR1D1/LILRB2/LIAS/TICAM1/CYP27B1/CD14/IL10/IRAK1/TNIP3/ADAMTS13/MMP9/CXCL8/HNRNPA0/VIM/RHOA/NFKB2/SIGIRR/TNIP2/SOD2/MAPKAPK3/ABCA1/SMAD3/FER/RARA/LYN/ERBIN/TLR4/SLC11A1/IRAK2/CXCL6/PTAFR/MYD88/NOCT/LOXL1/SERPINE1/CDK19/SBNO2/PRDX3/MMP8/ZFP36/TRIM41/SMAD6/IL6/AXL/RPS6KA3/LTF/MAP2K3",123
"GO:0006401","RNA catabolic process","173/4439","468/18842",0.36965811965812,1.56906922518547,6.9207671469992,3.14961011683383e-11,1.32283624907021e-08,1.32283624907021e-08,"ZFP36L2/GRSF1/RBM33/ZC3H12A/GSPT2/PLEKHN1/CTIF/PUM2/MTREX/SMG1/INTS10/INTS13/SNIP1/IREB2/CPSF3/DDX6/CNOT10/DCP1A/TRIM71/SUPV3L1/INTS7/BCLAF1/PABPC4/UPF3B/FASTKD1/LSM11/AGO4/E2F1/ZCCHC17/ETF1/EDC4/GIGYF1/CSTF2/FUS/NCBP1/DIS3L/DICER1/NUDT16/YBX1/GTPBP1/CRYZ/PHAX/MIR193A/NEAT1/YBX3/NBDY/MAPKAPK2/SNRPD3/NAF1/DCPS/APEX1/ISG20/LSM6/ZC3H4/DHX34/AGO3/UPF1/HNRNPD/ALYREF/TENT5C/EXOSC3/PDE12/LSM10/DCP1B/INTS2/PABPN1/EDC3/CAPRIN1/NBAS/OIP5-AS1/TTC5/CNOT1/PPP2CA/SERBP1/ROCK2/RNASET2/ARID5A/NSUN4/EXOSC5/TNRC6B/HSPA1B/CIRBP/MAPK14/MIR212/ZFP36L1/CNOT8/FXR2/PABPN1L/SLFN12/CNOT3/PYM1/PABPC1/SNRPB/NYNRIN/HNRNPAB/MEX3D/ZPR1/NCBP2/ZFC3H1/ZNF598/ANGEL1/EXOSC8/LARP4B/ZC3H14/CPSF2/CNOT6/IKBKE/TENT4A/GTSF1/PUM1/DCP2/HNRNPC/ARMC5/RNH1/CPEB3/PARN/CNOT11/ELOC/SMG8/TARDBP/HNRNPU/POP1/TRIR/KHNYN/SRSF1/DDX5/RNPS1/AGO2/CASC3/ATM/SAMD4B/EIF4ENIF1/ZCCHC7/AKT1/PPP1R8/DBR1/SYNCRIP/AGO1/INTS3/HNRNPA0/VIM/LSM14B/MOV10/TNKS1BP1/INTS11/RC3H1/ZC3H18/GSPT1/ZC3HAV1/YTHDF3/TNRC6C/LRPPRC/FTO/SLC11A1/ZC3H3/INTS6/TRAF3IP2/HELZ/MYD88/NOCT/NANOS3/RIOK3/INTS5/INTS8/HSPA1A/DXO/ERN1/METTL1/PRKCD/ZFP36/CNOT4/BTG2/PIWIL2",173
